Gene	sgRNA	eff
KLK14	sgRNA037164	1
KLK14	sgRNA037166	1
KLK14	sgRNA037165	1
KLK14	sgRNA037163	1
NTM	sgRNA037446	1
NTM	sgRNA037445	1
NTM	sgRNA037444	1
NTM	sgRNA037443	1
GAL	sgRNA037736	1
GAL	sgRNA037738	1
GAL	sgRNA037737	1
GAL	sgRNA037735	1
NAA20	sgRNA037891	1
NAA20	sgRNA037894	1
NAA20	sgRNA037892	1
NAA20	sgRNA037893	1
SDF4	sgRNA037971	1
SDF4	sgRNA037974	1
SDF4	sgRNA037972	1
SDF4	sgRNA037973	1
ZNF571	sgRNA038324	1
ZNF571	sgRNA038323	1
ZNF571	sgRNA038325	1
ZNF571	sgRNA038326	1
SARAF	sgRNA039276	1
SARAF	sgRNA039275	1
SARAF	sgRNA039278	1
SARAF	sgRNA039277	1
PRKAG3	sgRNA039607	1
PRKAG3	sgRNA039610	1
PRKAG3	sgRNA039608	1
PRKAG3	sgRNA039609	1
SNTG2	sgRNA039837	1
SNTG2	sgRNA039838	1
SNTG2	sgRNA039835	1
SNTG2	sgRNA039836	1
RHOF	sgRNA040109	1
RHOF	sgRNA040108	1
RHOF	sgRNA040110	1
RHOF	sgRNA040107	1
UGT1A1	sgRNA040359	1
UGT1A1	sgRNA040362	1
UGT1A1	sgRNA040360	1
UGT1A1	sgRNA040361	1
UCKL1	sgRNA041151	1
UCKL1	sgRNA041152	1
UCKL1	sgRNA041153	1
UCKL1	sgRNA041154	1
PID1	sgRNA041345	1
PID1	sgRNA041346	1
PID1	sgRNA041344	1
PID1	sgRNA041343	1
CDCA4	sgRNA041400	1
CDCA4	sgRNA041402	1
CDCA4	sgRNA041399	1
CDCA4	sgRNA041401	1
WDYHV1	sgRNA041544	1
WDYHV1	sgRNA041546	1
WDYHV1	sgRNA041543	1
WDYHV1	sgRNA041545	1
TNFRSF19	sgRNA042557	1
TNFRSF19	sgRNA042556	1
TNFRSF19	sgRNA042558	1
TNFRSF19	sgRNA042555	1
H2AFY2	sgRNA042563	1
H2AFY2	sgRNA042566	1
H2AFY2	sgRNA042565	1
H2AFY2	sgRNA042564	1
ADCY10	sgRNA043456	1
ADCY10	sgRNA043458	1
ADCY10	sgRNA043457	1
ADCY10	sgRNA043455	1
WWC3	sgRNA043546	1
WWC3	sgRNA043544	1
WWC3	sgRNA043545	1
WWC3	sgRNA043543	1
PCDHGA6	sgRNA043925	1
PCDHGA6	sgRNA043926	1
PCDHGA6	sgRNA043923	1
PCDHGA6	sgRNA043924	1
GKN1	sgRNA044207	1
GKN1	sgRNA044210	1
GKN1	sgRNA044208	1
GKN1	sgRNA044209	1
STOX2	sgRNA044747	1
STOX2	sgRNA044750	1
STOX2	sgRNA044749	1
STOX2	sgRNA044748	1
PRDM8	sgRNA044751	1
PRDM8	sgRNA044753	1
PRDM8	sgRNA044752	1
PRDM8	sgRNA044754	1
CDC42SE2	sgRNA044789	1
CDC42SE2	sgRNA044790	1
